Candidate A [Openness],Candidate A [Order],Candidate A [Stability],Candidate A [Security],Candidate A [Compassion],Candidate A [Personal liberty],Candidate B [Openness],Candidate B [Order],Candidate B [Stability],Candidate B [Security],Candidate B [Compassion],Candidate B [Personal liberty],Candidate C [Openness],Candidate C [Order],Candidate C [Stability],Candidate C [Security],Candidate C [Compassion],Candidate C [Personal liberty],Candidate D [Openness],Candidate D [Order],Candidate D [Stability],Candidate D [Security],Candidate D [Compassion],Candidate D [Personal liberty],Candidate E [Openness],Candidate E [Order],Candidate E [Stability],Candidate E [Security],Candidate E [Compassion],Candidate E [Personal liberty],Candidate F [Openness],Candidate F [Order],Candidate F [Stability],Candidate F [Security],Candidate F [Compassion],Candidate F [Personal liberty]
2,2,3,2,2,4,4,3,2,2,2,3,4,2,2,2,2,4,4,4,2,5,4,2,2,3,5,3,1,5,5,3,1,2,5,1
2,4,4,4,1,5,4,3,2,3,4,3,3,3,2,3,2,4,3,4,4,4,4,4,1,4,5,5,1,4,5,3,1,3,5,3
4,3,4,5,4,4,3,1,3,2,3,2,3,2,2,3,2,3,3,2,3,4,5,5,2,3,3,5,5,5,3,4,4,4,3,3
4,3,2,4,2,2,2,3,2,2,3,2,3,3,2,2,3,3,3,2,2,3,3,3,3,2,3,3,2,3,2,3,2,2,3,2
2,2,4,2,1,3,4,3,3,2,5,5,5,4,3,3,4,4,4,4,3,4,4,4,1,5,4,4,2,4,5,3,3,2,5,4
2,3,4,2,2,4,4,2,2,2,4,3,2,3,3,2,2,3,3,3,3,3,2,2,1,3,3,4,1,4,5,2,1,3,5,2
2,2,4,4,2,2,4,4,4,4,4,3,3,3,4,3,3,4,3,3,3,3,3,3,2,2,2,2,2,2,5,5,5,5,5,5
2,4,4,4,3,5,4,2,3,2,4,3,4,2,3,3,2,5,3,4,5,4,5,3,1,5,5,5,2,4,5,2,1,2,5,2
3,4,4,3,2,4,3,4,3,3,4,3,3,3,3,3,4,4,3,3,4,4,3,4,2,4,3,3,2,4,4,3,3,4,4,4
3,3,4,1,2,5,5,2,3,1,5,2,3,1,4,1,3,5,4,2,2,5,3,1,1,4,4,3,1,5,5,3,2,3,5,1
3,2,3,2,2,5,3,3,3,3,4,2,2,3,2,2,2,3,2,3,3,3,2,3,2,2,1,2,1,2,3,4,3,2,4,3
3,3,4,3,1,4,4,3,2,2,4,4,4,2,2,2,3,4,4,3,2,5,3,2,2,4,4,4,1,4,5,4,3,2,5,2
2,4,3,3,3,3,4,2,2,3,4,4,3,2,2,2,4,5,4,5,4,4,3,4,2,3,2,2,2,4,4,3,3,2,5,3
1,4,5,3,1,4,5,4,3,3,5,2,4,3,3,3,4,4,4,3,3,4,4,4,1,5,5,5,1,1,5,3,1,2,5,1
4,5,4,3,3,3,4,5,5,4,4,4,3,4,4,3,4,3,2,5,5,4,2,3,3,5,5,5,4,3,4,4,5,5,5,4
1,4,4,2,2,2,4,4,3,2,4,4,2,3,4,3,2,3,3,5,4,5,3,3,1,2,2,3,2,1,5,4,3,4,5,4
2,4,3,1,2,5,4,3,3,2,4,3,3,2,3,4,3,4,4,5,2,5,4,2,1,3,3,3,2,3,5,3,3,3,5,3
3,4,4,4,2,3,4,3,4,4,4,2,2,2,2,2,2,4,4,4,4,4,2,3,1,4,3,3,1,4,5,3,4,3,4,2
4,3,3,2,2,4,4,3,3,2,4,4,4,4,4,2,3,4,1,4,4,4,4,2,4,5,5,4,2,3,4,3,3,2,5,2
2,3,3,2,2,3,5,3,3,3,5,3,5,3,3,3,3,3,5,5,5,5,5,3,2,2,2,2,2,2,5,2,3,3,5,4
3,1,1,3,1,4,5,4,2,3,4,2,4,3,3,2,3,3,3,3,3,4,3,2,2,3,3,2,1,3,5,5,1,3,5,2
1,3,3,1,2,2,3,2,2,2,3,3,3,3,2,2,3,3,3,4,4,4,2,2,1,4,3,3,1,2,4,3,3,3,4,4
2,3,3,3,1,3,4,4,3,3,3,3,3,3,3,4,3,3,3,3,4,4,3,3,2,4,4,5,2,2,4,3,3,3,4,3
5,3,3,3,5,4,2,5,4,5,2,3,5,2,2,2,4,5,3,5,5,4,3,2,2,4,3,4,1,2,5,4,5,4,4,3
3,5,4,4,3,5,4,3,2,3,4,4,3,3,2,3,3,4,3,2,2,3,4,2,2,3,4,3,3,4,5,2,1,2,4,2
3,2,4,3,3,4,4,4,2,2,2,2,3,2,4,3,3,3,3,3,2,4,4,3,3,3,2,3,3,4,4,4,2,3,3,2
1,3,2,2,1,1,4,3,4,3,4,4,5,5,3,4,3,4,3,4,3,3,4,4,3,4,5,5,1,1,5,5,5,5,5,5
3,4,4,4,3,3,4,4,4,2,4,4,3,2,2,2,3,2,4,3,2,4,5,5,1,5,5,5,1,1,5,3,3,1,5,5
4,4,4,4,2,4,4,4,2,3,5,4,3,3,4,3,3,5,4,4,3,5,4,3,2,2,4,5,1,5,5,4,2,4,5,2
2,4,4,3,2,5,4,2,2,2,5,2,4,3,2,3,4,4,3,3,4,4,4,5,2,4,3,4,1,4,5,3,3,2,5,3
